,id,sentiment,aspect,sentence
0,1,No,legal,royal mail chairman donald brydon set to step down
1,1,No,m&a,royal mail chairman donald brydon set to step down
2,1,No,regulatory,royal mail chairman donald brydon set to step down
3,1,No,risks,royal mail chairman donald brydon set to step down
4,1,No,rumors,royal mail chairman donald brydon set to step down
5,1,No,company communication,royal mail chairman donald brydon set to step down
6,1,No,trade,royal mail chairman donald brydon set to step down
7,1,No,central banks,royal mail chairman donald brydon set to step down
8,1,No,market,royal mail chairman donald brydon set to step down
9,1,No,volatility,royal mail chairman donald brydon set to step down
10,1,No,financial,royal mail chairman donald brydon set to step down
11,1,No,fundamentals,royal mail chairman donald brydon set to step down
12,1,No,price action,royal mail chairman donald brydon set to step down
13,1,No,insider activity,royal mail chairman donald brydon set to step down
14,1,No,ipo,royal mail chairman donald brydon set to step down
15,1,Yes,others,royal mail chairman donald brydon set to step down
16,7,No,legal,stakes high for astrazeneca heart drug facing tough competition
17,7,No,m&a,stakes high for astrazeneca heart drug facing tough competition
18,7,No,regulatory,stakes high for astrazeneca heart drug facing tough competition
19,7,Yes,risks,stakes high for astrazeneca heart drug facing tough competition
20,7,No,rumors,stakes high for astrazeneca heart drug facing tough competition
21,7,No,company communication,stakes high for astrazeneca heart drug facing tough competition
22,7,No,trade,stakes high for astrazeneca heart drug facing tough competition
23,7,No,central banks,stakes high for astrazeneca heart drug facing tough competition
24,7,No,market,stakes high for astrazeneca heart drug facing tough competition
25,7,No,volatility,stakes high for astrazeneca heart drug facing tough competition
26,7,No,financial,stakes high for astrazeneca heart drug facing tough competition
27,7,No,fundamentals,stakes high for astrazeneca heart drug facing tough competition
28,7,No,price action,stakes high for astrazeneca heart drug facing tough competition
29,7,No,insider activity,stakes high for astrazeneca heart drug facing tough competition
30,7,No,ipo,stakes high for astrazeneca heart drug facing tough competition
31,8,No,legal,update 1-dairy crest loses a third of morrisons milk contract
32,8,No,m&a,update 1-dairy crest loses a third of morrisons milk contract
33,8,No,regulatory,update 1-dairy crest loses a third of morrisons milk contract
34,8,No,risks,update 1-dairy crest loses a third of morrisons milk contract
35,8,No,rumors,update 1-dairy crest loses a third of morrisons milk contract
36,8,No,company communication,update 1-dairy crest loses a third of morrisons milk contract
37,8,No,trade,update 1-dairy crest loses a third of morrisons milk contract
38,8,No,central banks,update 1-dairy crest loses a third of morrisons milk contract
39,8,No,market,update 1-dairy crest loses a third of morrisons milk contract
40,8,No,volatility,update 1-dairy crest loses a third of morrisons milk contract
41,8,No,financial,update 1-dairy crest loses a third of morrisons milk contract
42,8,No,fundamentals,update 1-dairy crest loses a third of morrisons milk contract
43,8,No,price action,update 1-dairy crest loses a third of morrisons milk contract
44,8,No,insider activity,update 1-dairy crest loses a third of morrisons milk contract
45,8,No,ipo,update 1-dairy crest loses a third of morrisons milk contract
46,8,Yes,others,update 1-dairy crest loses a third of morrisons milk contract
47,22,No,legal,insight hires aviva's david hillier for multi-asset team
48,22,No,m&a,insight hires aviva's david hillier for multi-asset team
49,22,No,regulatory,insight hires aviva's david hillier for multi-asset team
50,22,No,risks,insight hires aviva's david hillier for multi-asset team
51,22,No,rumors,insight hires aviva's david hillier for multi-asset team
52,22,No,company communication,insight hires aviva's david hillier for multi-asset team
53,22,No,trade,insight hires aviva's david hillier for multi-asset team
54,22,No,central banks,insight hires aviva's david hillier for multi-asset team
55,22,No,market,insight hires aviva's david hillier for multi-asset team
56,22,No,volatility,insight hires aviva's david hillier for multi-asset team
57,22,No,financial,insight hires aviva's david hillier for multi-asset team
58,22,No,fundamentals,insight hires aviva's david hillier for multi-asset team
59,22,No,price action,insight hires aviva's david hillier for multi-asset team
60,22,No,insider activity,insight hires aviva's david hillier for multi-asset team
61,22,No,ipo,insight hires aviva's david hillier for multi-asset team
62,22,Yes,others,insight hires aviva's david hillier for multi-asset team
63,30,No,legal,primark racks up a happy christmas after strong sales
64,30,No,m&a,primark racks up a happy christmas after strong sales
65,30,No,regulatory,primark racks up a happy christmas after strong sales
66,30,No,risks,primark racks up a happy christmas after strong sales
67,30,No,rumors,primark racks up a happy christmas after strong sales
68,30,No,company communication,primark racks up a happy christmas after strong sales
69,30,No,trade,primark racks up a happy christmas after strong sales
70,30,No,central banks,primark racks up a happy christmas after strong sales
71,30,No,market,primark racks up a happy christmas after strong sales
72,30,No,volatility,primark racks up a happy christmas after strong sales
73,30,No,financial,primark racks up a happy christmas after strong sales
74,30,No,fundamentals,primark racks up a happy christmas after strong sales
75,30,No,price action,primark racks up a happy christmas after strong sales
76,30,No,insider activity,primark racks up a happy christmas after strong sales
77,30,No,ipo,primark racks up a happy christmas after strong sales
78,30,Yes,others,primark racks up a happy christmas after strong sales
79,31,No,legal,update 1-pearson expects to grow this year after solid end to 2014
80,31,No,m&a,update 1-pearson expects to grow this year after solid end to 2014
81,31,No,regulatory,update 1-pearson expects to grow this year after solid end to 2014
82,31,No,risks,update 1-pearson expects to grow this year after solid end to 2014
83,31,No,rumors,update 1-pearson expects to grow this year after solid end to 2014
84,31,No,company communication,update 1-pearson expects to grow this year after solid end to 2014
85,31,No,trade,update 1-pearson expects to grow this year after solid end to 2014
86,31,No,central banks,update 1-pearson expects to grow this year after solid end to 2014
87,31,No,market,update 1-pearson expects to grow this year after solid end to 2014
88,31,No,volatility,update 1-pearson expects to grow this year after solid end to 2014
89,31,No,financial,update 1-pearson expects to grow this year after solid end to 2014
90,31,Yes,fundamentals,update 1-pearson expects to grow this year after solid end to 2014
91,31,No,price action,update 1-pearson expects to grow this year after solid end to 2014
92,31,No,insider activity,update 1-pearson expects to grow this year after solid end to 2014
93,31,No,ipo,update 1-pearson expects to grow this year after solid end to 2014
94,32,No,legal,tesco sells blinkbox and broadband service to talktalk
